City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
675,Buala,SB,79.61,light rain,-8.145,159.5921,Maringe Lagoon Lodge
681,Guanica,PR,83.5,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
682,Diego De Almagro,CL,74.05,clear sky,-26.3667,-70.05,hotel luna del desierto
683,Atuntaqui,EC,67.82,moderate rain,0.3333,-78.2167,Pucara Guest House
685,Vereeniging,ZA,68.61,few clouds,-26.6731,27.9261,Riviera on Vaal Resort
687,Lucapa,AO,65.14,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
688,Dubai,AE,73.22,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
689,Praia,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
690,Tshela,CD,72.37,clear sky,-4.9833,12.9333,Hotel Mirador
692,Domoni,KM,79.07,overcast clouds,-12.2569,44.5319,Al Djadid
